Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000000936.1, ENSGALG00000000936.2, 36, 0
ENSGALG00000000936.2, ENSGALG00000000936.3, 42, 0.697175
ENSGALG00000000936.3, ENSGALG00000000936.3, 45, 1
ENSGALG00000000936.3, ENSGALG00000000936.3, 51, 1
ENSGALG00000000936.3, ENSGALG00000000936.3, 53, 1
ENSGALG00000000936.3, ENSGALG00000000936.4, 71, 0.87955
ENSGALG00000000936.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000013194.1, ENSGALG00000013194.2, 36, 0
ENSGALG00000013194.2, ENSGALG00000013194.3, 42, 0.512938
ENSGALG00000013194.3, ENSGALG00000013194.3, 45, 1
ENSGALG00000013194.3, ENSGALG00000013194.3, 51, 1
ENSGALG00000013194.3, ENSGALG00000013194.3, 53, 1
ENSGALG00000013194.3, ENSGALG00000013194.4, 71, 0.405
ENSGALG00000013194.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000015622.1, ENSGALG00000015622.2, 36, 0
ENSGALG00000015622.2, ENSGALG00000015622.3, 42, 0.907808
ENSGALG00000015622.3, ENSGALG00000015622.3, 45, 1
ENSGALG00000015622.3, ENSGALG00000015622.3, 51, 1
ENSGALG00000015622.3, ENSGALG00000015622.3, 53, 1
ENSGALG00000015622.3, ENSGALG00000015622.4, 71, 0.503059
ENSGALG00000015622.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000003375.1, ENSGALG00000003375.1, 36, 1
ENSGALG00000003375.1, ENSGALG00000003375.2, 42, 0.69438
ENSGALG00000003375.2, ENSGALG00000003375.2, 45, 1
ENSGALG00000003375.2, ENSGALG00000003375.2, 51, 1
ENSGALG00000003375.2, ENSGALG00000003375.2, 53, 1
ENSGALG00000003375.2, ENSGALG00000003375.3, 71, 0.544568
ENSGALG00000003375.3, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000003404.1, ENSGALG00000003404.2, 36, 0
ENSGALG00000003404.2, ENSGALG00000003404.3, 42, 0.537112
ENSGALG00000003404.3, ENSGALG00000003404.3, 45, 1
ENSGALG00000003404.3, ENSGALG00000003404.3, 51, 1
ENSGALG00000003404.3, ENSGALG00000003404.3, 53, 1
ENSGALG00000003404.3, ENSGALG00000003404.4, 71, 0.994925
ENSGALG00000003404.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000000307.1, ENSGALG00000000307.2, 36, 0
ENSGALG00000000307.2, ENSGALG00000000307.3, 42, 0.90992
ENSGALG00000000307.3, ENSGALG00000000307.3, 45, 1
ENSGALG00000000307.3, ENSGALG00000000307.3, 51, 1
ENSGALG00000000307.3, ENSGALG00000000307.3, 53, 1
ENSGALG00000000307.3, ENSGALG00000000307.4, 71, 0.828423
ENSGALG00000000307.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000013818.1, ENSGALG00000013818.2, 36, 0
ENSGALG00000013818.2, ENSGALG00000013818.3, 42, 0.599119
ENSGALG00000013818.3, ENSGALG00000013818.3, 45, 1
ENSGALG00000013818.3, ENSGALG00000013818.3, 51, 1
ENSGALG00000013818.3, ENSGALG00000013818.3, 53, 1
ENSGALG00000013818.3, ENSGALG00000013818.4, 95, 0.99
ENSGALG00000013818.4, ENSGALG00000013818.5, 104, 0.199648

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000016397.1, ENSGALG00000016397.2, 36, 0
ENSGALG00000016397.2, ENSGALG00000016397.3, 42, 0.64221
ENSGALG00000016397.3, ENSGALG00000016397.3, 45, 1
ENSGALG00000016397.3, ENSGALG00000016397.3, 51, 1
ENSGALG00000016397.3, ENSGALG00000016397.3, 53, 1
ENSGALG00000016397.3, ENSGALG00000016397.4, 71, 0.929919
ENSGALG00000016397.4, ENSGALG00000016397.5, 86, 0.561133
ENSGALG00000016397.5, ENSGALG00000016397.6, 95, 0.993927
ENSGALG00000016397.6, <retired>, 104, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000015388.1, ENSGALG00000015388.2, 36, 0
ENSGALG00000015388.2, ENSGALG00000015388.3, 42, 0.624075
ENSGALG00000015388.3, ENSGALG00000015388.3, 45, 1
ENSGALG00000015388.3, ENSGALG00000015388.3, 51, 1
ENSGALG00000015388.3, ENSGALG00000015388.3, 53, 1
ENSGALG00000015388.3, ENSGALG00000015388.4, 71, 0.447707
ENSGALG00000015388.4, ENSGALG00000015388.5, 86, 0.43947
ENSGALG00000015388.5, ENSGALG00000015388.6, 95, 0.787093
ENSGALG00000015388.6, ENSGALG00000015388.7, 104, 0.605973

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000014485.1, ENSGALG00000014485.1, 36, 1
ENSGALG00000014485.1, ENSGALG00000014485.2, 42, 0.427147
ENSGALG00000014485.2, ENSGALG00000014485.2, 45, 1
ENSGALG00000014485.2, ENSGALG00000014485.2, 51, 1
ENSGALG00000014485.2, ENSGALG00000014485.2, 53, 1
ENSGALG00000014485.2, ENSGALG00000014485.3, 71, 0.848922
ENSGALG00000014485.3, ENSGALG00000014485.4, 86, 0.866477
ENSGALG00000014485.4, ENSGALG00000014485.5, 87, 0.93344
ENSGALG00000014485.5, ENSGALG00000014485.6, 95, 0.624132
ENSGALG00000014485.6, ENSGALG00000014485.7, 104, 0.894056

Old stable ID, New stable ID, Release, Mapping score
